pair	ts	grade	bbw_pct_now	amp_24h	win4h	bucket
BTC/USDT	2025-02-21 13:00:00+00:00	B	0.5284722222222222	0.04634712968587502	2025-02-21 12:00:00+00:00	[0.50,0.75)
BNB/USDT	2025-02-22 17:45:00+00:00	B	0.7097222222222223	0.046914207193213	2025-02-22 16:00:00+00:00	[0.50,0.75)
LINK/USDT	2025-02-23 03:30:00+00:00	A	0.03194444444444444	0.07550335570469788	2025-02-23 00:00:00+00:00	[0.00,0.05)
ETH/USDT	2025-02-23 07:15:00+00:00	B	0.715625	0.05902723403043733	2025-02-23 04:00:00+00:00	[0.50,0.75)
ETH/USDT	2025-02-23 23:00:00+00:00	A	0.32395833333333335	0.13631672566527542	2025-02-23 20:00:00+00:00	[0.25,0.50)
XRP/USDT	2025-02-24 00:00:00+00:00	A	0.346875	0.15130996806832608	2025-02-24 00:00:00+00:00	[0.25,0.50)
LTC/USDT	2025-02-26 09:30:00+00:00	B	0.8027777777777778	0.07928042664968565	2025-02-26 08:00:00+00:00	[0.75,1.00]
LINK/USDT	2025-02-26 22:00:00+00:00	B	0.85625	0.06414368184733804	2025-02-26 20:00:00+00:00	[0.75,1.00]
LINK/USDT	2025-02-28 13:30:00+00:00	B	0.59375	0.06412966878083158	2025-02-28 12:00:00+00:00	[0.50,0.75)
BNB/USDT	2025-03-01 14:00:00+00:00	B	0.42777777777777776	0.023661539999666626	2025-03-01 12:00:00+00:00	[0.25,0.50)
ETH/USDT	2025-03-02 09:30:00+00:00	A	0.3684027777777778	0.16807640563185164	2025-03-02 08:00:00+00:00	[0.25,0.50)
AVAX/USDT	2025-03-02 15:15:00+00:00	B	0.4579861111111111	0.12893081761006292	2025-03-02 12:00:00+00:00	[0.25,0.50)
LTC/USDT	2025-03-02 16:30:00+00:00	B	0.9378472222222223	0.13834632903574462	2025-03-02 16:00:00+00:00	[0.75,1.00]
ADA/USDT	2025-03-04 14:30:00+00:00	B	0.8645833333333334	0.27497352629721145	2025-03-04 12:00:00+00:00	[0.75,1.00]
LINK/USDT	2025-03-04 21:15:00+00:00	B	0.9715277777777778	0.12532637075718014	2025-03-04 20:00:00+00:00	[0.75,1.00]
AVAX/USDT	2025-03-05 19:00:00+00:00	B	0.725	0.07980997624703086	2025-03-05 16:00:00+00:00	[0.50,0.75)
BTC/USDT	2025-03-06 01:45:00+00:00	B	0.46041666666666664	0.08943401394222686	2025-03-06 00:00:00+00:00	[0.25,0.50)
LTC/USDT	2025-03-06 04:30:00+00:00	B	0.8774305555555556	0.14319569774860993	2025-03-06 04:00:00+00:00	[0.75,1.00]
AVAX/USDT	2025-03-06 22:00:00+00:00	B	0.3996527777777778	0.08169934640522875	2025-03-06 20:00:00+00:00	[0.25,0.50)
SOL/USDT	2025-03-07 13:30:00+00:00	B	0.50625	0.09756097560975616	2025-03-07 12:00:00+00:00	[0.50,0.75)
ETH/USDT	2025-03-08 17:15:00+00:00	B	0.41423611111111114	0.0965419108083979	2025-03-08 16:00:00+00:00	[0.25,0.50)
SOL/USDT	2025-03-10 09:15:00+00:00	B	0.5024305555555556	0.145051063503033	2025-03-10 08:00:00+00:00	[0.50,0.75)
BNB/USDT	2025-03-12 12:30:00+00:00	A	0.19305555555555556	0.06242544023645451	2025-03-12 12:00:00+00:00	[0.10,0.25)
BNB/USDT	2025-03-13 13:00:00+00:00	A	0.8371527777777777	0.05954565166627756	2025-03-13 12:00:00+00:00	[0.75,1.00]
LINK/USDT	2025-03-14 08:15:00+00:00	A	0.8357638888888889	0.08744710860366715	2025-03-14 08:00:00+00:00	[0.75,1.00]
SOL/USDT	2025-03-14 13:45:00+00:00	A	0.3861111111111111	0.06544157556020778	2025-03-14 12:00:00+00:00	[0.25,0.50)
BNB/USDT	2025-03-15 15:30:00+00:00	A	0.18159722222222222	0.0494118428922709	2025-03-15 12:00:00+00:00	[0.10,0.25)
DOGE/USDT	2025-03-16 16:00:00+00:00	B	0.36944444444444446	0.04902824261640536	2025-03-16 16:00:00+00:00	[0.25,0.50)
