half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
1.5	80	close	reverse	15	30	0.02	0.00011	12470	-0.0212511	-0.036188	-0.031239	-0.0250712	-0.0153289	0.00627633	-0.0217561	-0.0207359	0			-0.023318	main
1.5	80	close	reverse	30	1	0.02	0.00011	12470	-0.0391355	-0.072376	-0.0624107	-0.0497387	-0.0275158	0.0343616	-0.0404791	-0.0377901	0			-0.0429161	main
1.5	80	close	reverse	30	7	0.02	0.00011	12470	-0.0425022	-0.072376	-0.0624781	-0.0501425	-0.0306578	0.0125527	-0.0435123	-0.0414718	0			-0.046636	main
1.5	80	close	reverse	30	30	0.02	0.00011	12470	-0.0425022	-0.072376	-0.0624781	-0.0501425	-0.0306578	0.0125527	-0.0435123	-0.0414718	0			-0.046636	main
1.5	80	hold	reverse	3	1	0.02	0.00011	12470	-0.0144616	-0.0721777	-0.0235854	-0.00405966	0.00463109	0.0126743	-0.0159824	-0.0130688	0	0.0180956	-0.0218526	-0.0107046	main
1.5	80	hold	reverse	3	7	0.02	0.00011	12470	-0.0473553	-0.199614	-0.0805155	-0.0261911	0.010972	0.0420504	-0.0541089	-0.0410673	0.00144346	0.0575827	-0.0696741	-0.0338621	main
1.5	80	hold	reverse	3	30	0.02	0.00011	12470	-0.11467	-0.450885	-0.188491	-0.0694359	0.0175553	0.0963801	-0.134545	-0.0963859	0.0236568	0.126187	-0.145265	-0.0733382	main
1.5	80	hold	reverse	5	1	0.02	0.00011	12470	-0.0242139	-0.120296	-0.039309	-0.0067661	0.00771848	0.0211238	-0.0267849	-0.0218233	0.00032077	0.0301655	-0.0362217	-0.0178408	main
1.5	80	hold	reverse	5	7	0.02	0.00011	12470	-0.079729	-0.334541	-0.134193	-0.0436518	0.0182866	0.0700839	-0.0904899	-0.0690788	0.00801925	0.096251	-0.111898	-0.056436	main
1.5	80	hold	reverse	5	30	0.02	0.00011	12470	-0.187181	-1	-0.320116	-0.11643	0.0290027	0.160556	-0.215425	-0.160013	0.0660786	0.214048	-0.217961	-0.122148	main
1.5	80	hold	reverse	10	1	0.02	0.00011	12470	-0.0486128	-0.240592	-0.078618	-0.0135322	0.015437	0.0422477	-0.0537473	-0.0437072	0.00280674	0.0604046	-0.0706074	-0.0356815	main
1.5	80	hold	reverse	10	7	0.02	0.00011	12470	-0.162163	-1	-0.269709	-0.0876872	0.0365403	0.140168	-0.183438	-0.141258	0.0565357	0.196208	-0.19271	-0.11279	main
1.5	80	hold	reverse	10	30	0.02	0.00011	12470	-0.377254	-1	-1	-0.284976	0.0488587	0.316796	-0.420406	-0.333833	0.315076	0.489894	-0.292921	-0.239362	main
1.5	80	hold	reverse	15	1	0.02	0.00011	12470	-0.0744291	-0.362623	-0.118188	-0.0203628	0.0231432	0.0633216	-0.0825508	-0.0669942	0.0123496	0.0909864	-0.100023	-0.0535067	main
1.5	80	hold	reverse	15	7	0.02	0.00011	12470	-0.252468	-1	-0.44439	-0.13921	0.052373	0.208688	-0.283067	-0.221462	0.161668	0.307617	-0.234948	-0.167497	main
1.5	80	hold	reverse	15	30	0.02	0.00011	12470	-0.545686	-1	-1	-1	-0.0193943	0.452238	-0.589932	-0.499498	0.556055	0.824117	-0.316773	-0.329173	main
1.5	80	hold	reverse	30	1	0.02	0.00011	12470	-0.15696	-1	-0.245503	-0.0423933	0.0460242	0.126258	-0.172421	-0.142092	0.0841219	0.185855	-0.155489	-0.106427	main
1.5	80	hold	reverse	30	7	0.02	0.00011	12470	-0.502685	-1	-1	-1	0.0297037	0.390821	-0.540042	-0.464234	0.51251	0.710582	-0.27262	-0.305128	main
1.5	80	hold	reverse	30	30	0.02	0.00011	12470	-0.800622	-1	-1	-1	-1	0.593095	-0.832714	-0.766669	0.861347	1.9881	-0.382906	-0.466003	main
1.5	80	recover	reverse	3	1	0.02	0.00011	12470	-0.00524744	-0.0411135	-0.00538132	0.00175004	0.00347372	0.0070205	-0.0060609	-0.00447896	0			-0.00426378	main
1.5	80	recover	reverse	3	7	0.02	0.00011	12470	-0.00672865	-0.072601	0.00150011	0.00277809	0.00467677	0.009287	-0.0083431	-0.00505602	0.000160385			-0.00465256	main
1.5	80	recover	reverse	3	30	0.02	0.00011	12470	-0.00873703	-0.0795468	0.00188382	0.00307658	0.00503155	0.00977535	-0.0121771	-0.00568922	0.00152366			-0.00465816	main
1.5	80	recover	reverse	5	1	0.02	0.00011	12470	-0.00873611	-0.0685224	-0.00896887	0.00291674	0.00578954	0.0117008	-0.0100889	-0.00745844	0.000160385			-0.0071063	main
1.5	80	recover	reverse	5	7	0.02	0.00011	12470	-0.0112901	-0.121002	0.00250019	0.00463016	0.00779462	0.0154783	-0.0139861	-0.00851056	0.000801925			-0.00775427	main
1.5	80	recover	reverse	5	30	0.02	0.00011	12470	-0.0140352	-0.13314	0.00313756	0.00512546	0.00838373	0.0162867	-0.0192841	-0.00926259	0.00360866			-0.00776356	main
1.5	80	recover	reverse	10	1	0.02	0.00011	12470	-0.0174625	-0.137045	-0.0179377	0.00583347	0.0115791	0.0234017	-0.0201295	-0.0149306	0.000801925			-0.0142126	main
1.5	80	recover	reverse	10	7	0.02	0.00011	12470	-0.0231996	-0.242785	0.00499967	0.00925236	0.0155861	0.03095	-0.0287598	-0.0173571	0.00697674			-0.0155085	main
1.5	80	recover	reverse	10	30	0.02	0.00011	12470	-0.0288646	-0.290437	0.00623761	0.0102089	0.0167221	0.0323944	-0.0383935	-0.0198382	0.0234964			-0.0155263	main
1.5	80	recover	reverse	15	1	0.02	0.00011	12470	-0.0267404	-0.206037	-0.027028	0.00874792	0.0173686	0.0351025	-0.0308802	-0.0228229	0.00408982			-0.0213188	main
1.5	80	recover	reverse	15	7	0.02	0.00011	12470	-0.0370382	-0.381302	0.00744003	0.0138551	0.0233518	0.0464055	-0.045919	-0.027838	0.0226143			-0.0232616	main
1.5	80	recover	reverse	15	30	0.02	0.00011	12470	-0.0430121	-0.707716	0.0091818	0.015174	0.0249305	0.0484183	-0.0553209	-0.0312464	0.0480353			-0.0232853	main
1.5	80	recover	reverse	30	1	0.02	0.00011	12470	-0.0546133	-0.426616	-0.0544554	0.0174587	0.0346965	0.0702013	-0.0619709	-0.0475469	0.0256616			-0.0426364	main
1.5	80	recover	reverse	30	7	0.02	0.00011	12470	-0.0767342	-1	0.014053	0.0271446	0.0461071	0.0918015	-0.0906827	-0.062807	0.0878107			-0.0465068	main
1.5	80	recover	reverse	30	30	0.02	0.00011	12470	-0.0840746	-1	0.0165046	0.0290195	0.0481583	0.0945749	-0.099754	-0.0681724	0.113873			-0.0465319	main
3	40	close	reverse	3	1	0.02	0.00011	12470	0.000686731	-0.0120451	-0.0077483	-9.68912e-05	0.00642347	0.019242	0.000392205	0.00100455	0			-0.00193185	main
3	40	close	reverse	3	7	0.02	0.00011	12470	0.000301916	-0.0121121	-0.00839611	-0.0032524	0.00531824	0.0243194	-0.000114462	0.000735889	0			-0.0027193	main
3	40	close	reverse	3	30	0.02	0.00011	12470	0.000228401	-0.0121121	-0.00839611	-0.00325706	0.00523095	0.0241224	-0.000189062	0.000665975	0			-0.00274223	main
3	40	close	reverse	5	1	0.02	0.00011	12470	0.00114455	-0.0200751	-0.0129138	-0.000161485	0.0107058	0.03207	0.000653676	0.00167424	0			-0.00321974	main
3	40	close	reverse	5	7	0.02	0.00011	12470	0.000503193	-0.0201869	-0.0139935	-0.00542067	0.00886374	0.0405323	-0.00019077	0.00122648	0			-0.00453216	main
3	40	close	reverse	5	30	0.02	0.00011	12470	0.000380669	-0.0201869	-0.0139935	-0.00542844	0.00871825	0.0402039	-0.000315104	0.00110996	0			-0.00457039	main
3	40	close	reverse	10	1	0.02	0.00011	12470	0.0022891	-0.0401502	-0.0258277	-0.000322971	0.0214116	0.0641399	0.00130735	0.00334849	0			-0.00643948	main
3	40	close	reverse	10	7	0.02	0.00011	12470	0.00100639	-0.0403738	-0.027987	-0.0108413	0.0177275	0.0810645	-0.000381539	0.00245296	0			-0.00906433	main
3	40	close	reverse	10	30	0.02	0.00011	12470	0.000761337	-0.0403738	-0.027987	-0.0108569	0.0174365	0.0804079	-0.000630208	0.00221992	0			-0.00914078	main
3	40	close	reverse	15	1	0.02	0.00011	12470	0.00343366	-0.0602254	-0.0387415	-0.000484456	0.0321173	0.0962099	0.00196103	0.00502273	0			-0.00965923	main
3	40	close	reverse	15	7	0.02	0.00011	12470	0.00150958	-0.0605607	-0.0419805	-0.016262	0.0265912	0.121597	-0.000572309	0.00367944	0			-0.0135965	main
3	40	close	reverse	15	30	0.02	0.00011	12470	0.00114201	-0.0605607	-0.0419805	-0.0162853	0.0261548	0.120612	-0.000945312	0.00332988	0			-0.0137112	main
3	40	close	reverse	30	1	0.02	0.00011	12470	0.00686731	-0.120451	-0.077483	-0.000968912	0.0642347	0.19242	0.00392205	0.0100455	0			-0.0193185	main
3	40	close	reverse	30	7	0.02	0.00011	12470	0.00301916	-0.121121	-0.0839611	-0.032524	0.0531824	0.243194	-0.00114462	0.00735889	0			-0.027193	main
3	40	close	reverse	30	30	0.02	0.00011	12470	0.00228401	-0.121121	-0.0839611	-0.0325706	0.0523095	0.241224	-0.00189062	0.00665975	0			-0.0274223	main
3	40	hold	reverse	3	1	0.02	0.00011	12470	0.00062988	-0.0528842	-0.00595419	0.00470613	0.0143002	0.0390336	-0.000445249	0.00176733	0	0.0206155	-0.0168934	-0.00309228	main
3	40	hold	reverse	3	7	0.02	0.00011	12470	-0.000886988	-0.16939	-0.0472273	0.0128738	0.0559093	0.137947	-0.00777821	0.00617257	0.00136327	0.0741031	-0.0626611	-0.0109608	main
3	40	hold	reverse	3	30	0.02	0.00011	12470	-0.014224	-0.397519	-0.131261	0.0119928	0.132472	0.326737	-0.0374815	0.00755382	0.0209302	0.171455	-0.13935	-0.0250204	main
3	40	hold	reverse	5	1	0.02	0.00011	12470	0.000931029	-0.0881403	-0.00992364	0.00784354	0.0238337	0.0650559	-0.000884919	0.0029005	0.00032077	0.0343651	-0.0279582	-0.00515362	main
3	40	hold	reverse	5	7	0.02	0.00011	12470	-0.00201797	-0.28483	-0.0787824	0.0214563	0.0931821	0.229911	-0.0131526	0.00951441	0.00649559	0.123787	-0.100964	-0.0182677	main
3	40	hold	reverse	5	30	0.02	0.00011	12470	-0.0181163	-1	-0.220603	0.0197158	0.220719	0.544266	-0.0533339	0.0148257	0.052927	0.290276	-0.210766	-0.0416779	main
3	40	hold	reverse	10	1	0.02	0.00011	12470	0.0016552	-0.176281	-0.0198473	0.0156871	0.0476674	0.130112	-0.00214508	0.00557363	0.00232558	0.0687774	-0.0544715	-0.0103072	main
3	40	hold	reverse	10	7	0.02	0.00011	12470	-0.00663899	-0.656512	-0.158604	0.0427978	0.186364	0.459823	-0.0290045	0.0161607	0.0420209	0.251443	-0.177314	-0.0365193	main
3	40	hold	reverse	10	30	0.02	0.00011	12470	-0.0453201	-1	-0.625947	0.00486556	0.428574	1.06774	-0.104422	0.0127212	0.226143	0.644549	-0.316004	-0.0818411	main
3	40	hold	reverse	15	1	0.02	0.00011	12470	0.000889842	-0.268265	-0.0298655	0.0235141	0.0714538	0.194945	-0.00496831	0.00681936	0.00994387	0.103243	-0.0768169	-0.015451	main
3	40	hold	reverse	15	7	0.02	0.00011	12470	-0.0193186	-1	-0.259255	0.0588506	0.275934	0.682437	-0.0516246	0.0133942	0.114194	0.389212	-0.224556	-0.0542318	main
3	40	hold	reverse	15	30	0.02	0.00011	12470	-0.0903933	-1	-1	-0.1728	0.578182	1.52796	-0.164013	-0.0157437	0.405774	1.06721	-0.379436	-0.115541	main
3	40	hold	reverse	30	1	0.02	0.00011	12470	-0.00163093	-1	-0.062351	0.0463885	0.141775	0.388295	-0.0117101	0.00881151	0.0506816	0.207003	-0.124312	-0.0307644	main
3	40	hold	reverse	30	7	0.02	0.00011	12470	-0.0696536	-1	-1	0.010883	0.489915	1.30472	-0.119952	-0.0160822	0.349318	0.857261	-0.300872	-0.101572	main
3	40	hold	reverse	30	30	0.02	0.00011	12470	-0.190705	-1	-1	-1	0.532334	2.72376	-0.285619	-0.0929459	0.677306	2.44153	-0.574565	-0.184973	main
3	40	recover	reverse	3	1	0.02	0.00011	12470	-0.000157956	-0.0385448	-0.00339653	0.00443225	0.0102669	0.0234974	-0.000976463	0.00069099	0			-0.00190069	main
3	40	recover	reverse	3	7	0.02	0.00011	12470	-0.00334946	-0.0981002	0.00262028	0.0094552	0.0177406	0.0366863	-0.00623524	-0.000444818	0.000240577			-0.00269845	main
3	40	recover	reverse	3	30	0.02	0.00011	12470	-0.00800468	-0.158543	0.00599341	0.0113343	0.0200699	0.0391911	-0.0147502	-0.00200181	0.00344828			-0.002732	main
