pair	date	err	bbw_ref	bbw_new	bucket_ref	bucket_new	amp_ref_1	amp_new_1	R_ref_1	R_new_1	amp_ref_4	amp_new_4	R_ref_4	R_new_4	amp_ref_12	amp_new_12	R_ref_12	R_new_12	amp_ref_24	amp_new_24	R_ref_24	R_new_24
BNB/USDT	2025-05-29 19:15:00		0.7545138888888889	0.7545138888888889	5	5	0.0057074240986721	0.005707424098671643	0.6805194805194235	0.6805194805194941	0.0140980787476287	0.01409807874762814	0.870662460567796	0.8706624605678313	0.0254091555977235	0.025409155597722943	0.5169194865810997	0.5169194865810902	0.0333106024667938	0.03331060246679329	0.6315086782376523	0.6315086782376468
BNB/USDT	2025-05-30 19:30:00		0.8375	0.8375	5	5	0.0030453959014671	0.0030453959014670184	0.8571428571427866	0.8571428571428936	0.0204776620960724	0.02047766209607238	0.9787545787545684	0.9787545787545853	0.0327492574034627	0.03274925740346246	0.986715529088404	0.9867155290884146	0.0327492574034627	0.03274925740346246	0.986715529088404	0.9867155290884146
BNB/USDT	2025-05-31 19:45:00		0.1208333333333333	0.12083333333333333	2	2	0.0028396580262102	0.0028396580262098903	0.9946524064169686	0.9946524064170993	0.0054819066709184	0.005481906670918746	0.8005540166204161	0.8005540166204878	0.0136971740087772	0.013697174008777235	0.6796008869180034	0.6796008869179562	0.0210165064613607	0.021016506461360884	0.7911849710982909	0.7911849710982615
BNB/USDT	2025-06-01 20:00:00		0.4857638888888889	0.4857638888888889	3	3	0.0047460627518001	0.004746062751800784	0.9967845659164676	0.9967845659164046	0.0110029300451714	0.0110029300451715	0.9986130374480188	0.9986130374479915	0.0138261506531564	0.013826150653155955	0.9889624724061732	0.9889624724061771	0.021654865095837	0.021654865095836917	0.6314305849189734	0.6314305849189562
BNB/USDT	2025-06-02 20:15:00		0.5607638888888888	0.5607638888888888	4	4	0.0036976666968512	0.003697666696851676	0.9102040816328671	0.9102040816326649	0.0145642790304565	0.01456427903045665	0.768911917098418	0.7689119170984434	0.0197410124060484	0.019741012406048974	0.8295107033638911	0.8295107033639124	0.0209031362250592	0.02090313622505946	0.783393501805021	0.7833935018050538
BNB/USDT	2025-06-03 20:30:00		0.521875	0.521875	4	4	0.0047752172270493	0.004775217227049655	0.8987341772152736	0.8987341772151646	0.008628636191915	0.00862863619191534	0.8126094570928432	0.8126094570928226	0.0221382697393269	0.02213826973932742	0.6832764505119409	0.6832764505119439	0.0221382697393269	0.02213826973932742	0.6832764505119409	0.6832764505119439
BNB/USDT	2025-06-04 20:45:00		0.4107638888888889	0.4107638888888889	3	3	0.007149953337147	0.00714995333714652	0.503157894736847	0.5031578947368436	0.0071951109371706	0.0071951109371707345	0.5062761506275858	0.5062761506276255	0.0125989704067194	0.012598970406719423	0.7108721624850846	0.7108721624850588	0.0684589216365111	0.06845892163651135	0.855321020228673	0.8553210202286722
BNB/USDT	2025-06-05 21:00:00		0.9951388888888888	0.9951388888888889	5	5	0.0095495352347658	0.009549535234765982	0.96006655574042	0.9600665557404316	0.0105505680463971	0.01055056804639698	0.9638554216867368	0.963855421686746	0.0232303169937238	0.023230316993723688	0.9835841313269448	0.9835841313269491	0.0355922777468816	0.03559227774688167	0.9892857142857112	0.9892857142857141
BNB/USDT	2025-06-06 21:15:00		0.015625	0.015625	0	0	0.0062415785153399	0.006241578515340684	0.8188585607940851	0.8188585607940303	0.0103923056669812	0.010392305666981572	0.8912071535022694	0.8912071535022261	0.0159524215156351	0.015952421515634918	0.580582524271841	0.580582524271838	0.0213886350612539	0.021388635061254102	0.5669804489500275	0.5669804489500393
BNB/USDT	2025-06-07 21:30:00		0.1447916666666666	0.14479166666666668	2	2	0.0023104936193649	0.002310493619365417	0.821192052980155	0.8211920529801184	0.0078189552284476	0.00781895522844811	0.9471624266144936	0.9471624266144745	0.0102671603880405	0.01026716038804043	0.9597615499254964	0.9597615499254789	0.0149340514735128	0.014934051473513565	0.7223360655737711	0.7223360655737653
BNB/USDT	2025-06-08 21:45:00		0.1961805555555555	0.19618055555555555	2	2	0.0050518925518924	0.005051892551892645	0.9516616314199972	0.9516616314199406	0.0074328449328447	0.0074328449328450175	0.9671457905544538	0.9671457905544153	0.0112179487179485	0.011217948717948789	0.9782312925170328	0.978231292517007	0.0276862026862025	0.0276862026862027	0.6036383682469619	0.6036383682469656
BNB/USDT	2025-06-09 22:00:00		0.7434027777777777	0.7434027777777777	4	4	0.0061684851941342	0.00616848519413471	0.6472019464720481	0.6472019464720057	0.0065136802293292	0.0065136802293296325	0.6129032258064715	0.6129032258064351	0.0160740818562484	0.016074081856248923	0.8431372549019738	0.843137254901954	0.024223686382806	0.024223686382806364	0.5594795539033465	0.5594795539033444
BNB/USDT	2025-06-10 22:15:00		0.7836805555555556	0.7836805555555556	5	5	0.00705157767893	0.007051577678930165	0.6181434599156865	0.6181434599156136	0.0085392522947383	0.008539252294738175	0.6602787456446788	0.6602787456446052	0.0096698850027521	0.009669885002752121	0.5984615384615977	0.5984615384615618	0.0187447001591814	0.01874470015918095	0.7928571428571765	0.7928571428571539
BNB/USDT	2025-06-11 22:30:00		0.4861111111111111	0.4861111111111111	3	3	0.0072654919280686	0.007265491928068579	0.9356846473029437	0.9356846473029096	0.0102952925038811	0.010295292503881504	0.9546120058565412	0.9546120058565193	0.0102952925038811	0.010295292503881504	0.9546120058565412	0.9546120058565193	0.0271626897393768	0.027162689739376966	0.6381798002219761	0.6381798002219741
BNB/USDT	2025-06-12 22:45:00		0.9517361111111112	0.9517361111111111	5	5	0.0043404502452963	0.004340450245296612	0.947183098591466	0.9471830985915576	0.0274946126453819	0.02749461264538211	0.8504724847137508	0.8504724847137269	0.0311931653191911	0.03119316531919103	0.7496325330720371	0.7496325330720239	0.0311931653191911	0.03119316531919103	0.7496325330720371	0.7496325330720239
BNB/USDT	2025-06-13 23:00:00		0.3229166666666667	0.3229166666666667	3	3	0.0022323817678628	0.00223238176786289	1.0	1.0	0.0081803030534699	0.008180303053470173	0.7271028037383133	0.7271028037383176	0.0096175899451079	0.009617589945107974	0.7678855325914185	0.767885532591416	0.0251831011758229	0.02518310117582301	0.911353976927748	0.9113539769277469
BNB/USDT	2025-06-14 23:15:00		0.5430555555555555	0.5430555555555555	4	4	0.0024495744252026	0.0024495744252026608	0.8860759493670322	0.88607594936713	0.00480612703679	0.004806127036790064	0.9419354838709404	0.9419354838709892	0.011116106727028	0.011116106727027342	0.9748953974895294	0.974895397489549	0.0143098556611525	0.014309855661152504	0.7573131094258154	0.7573131094257847
BNB/USDT	2025-06-15 23:30:00		0.5815972222222222	0.5815972222222222	4	4	0.002637016932425	0.002637016932424574	0.994152046783666	0.9941520467836085	0.0095765351756465	0.009576535175646939	0.6457326892109145	0.6457326892109421	0.016007155414366	0.01600715541436637	0.788053949903644	0.788053949903656	0.0203559201801192	0.020355920180119114	0.8333333333333242	0.8333333333333297
BNB/USDT	2025-06-16 23:45:00		0.84375	0.84375	5	5	0.0102959707410031	0.010295970741002636	0.5134328358208959	0.513432835820903	0.0142760549528237	0.014276054952823136	0.6297093649085029	0.6297093649085004	0.0179795309954824	0.017979530995482218	0.7059829059828955	0.7059829059829018	0.0290284906414232	0.029028490641423654	0.5627316040232853	0.5627316040232924
BNB/USDT	2025-06-18 00:00:00		0.1270833333333333	0.12708333333333333	2	2	0.0061939539613573	0.006193953961357246	0.7412935323383012	0.7412935323383156	0.0097531663122864	0.009753166312286177	0.8357030015797717	0.8357030015797795	0.019429293396197	0.019429293396197256	0.5804916732751657	0.5804916732751779	0.0261317062648299	0.026131706264829968	0.688089622641503	0.6880896226415094
BNB/USDT	2025-06-19 00:15:00		0.6489583333333333	0.6489583333333333	4	4	0.0055319676449621	0.005531967644962332	0.8459383753500584	0.8459383753501335	0.0072055040753712	0.0072055040753710164	0.8580645161289979	0.8580645161290491	0.0079802894598196	0.007980289459819656	0.7747572815533811	0.7747572815533994	0.0121486348281523	0.012148634828152649	0.8520408163265161	0.8520408163265316
BNB/USDT	2025-06-20 00:30:00		0.1118055555555555	0.11180555555555556	2	2	0.0021736092782067	0.002173609278206534	0.6928571428571109	0.6928571428570844	0.005961899734509	0.005961899734509113	0.6197916666667364	0.6197916666666727	0.0125603564719222	0.012560356471921552	0.697156983930748	0.6971569839307757	0.0202145662873199	0.0202145662873201	0.5322580645161131	0.5322580645161246
BNB/USDT	2025-06-21 00:45:00		0.5329861111111112	0.5329861111111112	4	4	0.0037229154010311	0.0037229154010312016	0.97071129707115	0.9707112970711183	0.0045796532548253	0.004579653254825011	0.9761904761904948	0.976190476190467	0.0086764179011484	0.008676417901148037	0.5152603231598054	0.5152603231597814	0.0356714488215958	0.03567144882159601	0.8746724890829579	0.87467248908297
BNB/USDT	2025-06-22 01:00:00		0.8770833333333333	0.8770833333333333	5	5	0.0066607600544258	0.006660760054425285	0.9643705463182068	0.964370546318259	0.0085118501408099	0.008511850140809463	0.9237918215612764	0.9237918215613121	0.01577381894124	0.01577381894123986	0.6539618856569756	0.6539618856569667	0.054203714837199	0.05420371483719899	0.899299474605954	0.8992994746059525
BNB/USDT	2025-06-23 01:15:00		0.9697916666666668	0.9697916666666667	5	5	0.0080189598078046	0.008018959807804649	0.9676113360323312	0.9676113360323985	0.010405168495552	0.010405168495552175	0.9750390015600175	0.9750390015600698	0.0145445100967471	0.014544510096746954	0.9821428571428258	0.9821428571428626	0.0436822284267251	0.04368222842672553	0.9940542549238096	0.9940542549238219
BNB/USDT	2025-06-24 01:30:00		0.9472222222222222	0.9472222222222222	5	5	0.0055073144019397	0.005507314401940189	0.7045454545455555	0.7045454545454527	0.0086364703121334	0.008636470312133548	0.550724637681131	0.5507246376811643	0.0102323398263321	0.010232339826332093	0.5443425076452352	0.5443425076452663	0.016005632480638	0.016005632480638465	0.7086999022482603	0.7086999022482886
BNB/USDT	2025-06-25 01:45:00		0.134375	0.134375	2	2	0.0031315401906827	0.0031315401906829576	0.5594059405939942	0.559405940594029	0.0167273854739945	0.016727385473994216	0.7034291010194729	0.7034291010194654	0.0167273854739945	0.016727385473994216	0.7034291010194729	0.7034291010194654	0.0167273854739945	0.016727385473994216	0.7034291010194729	0.7034291010194654
BNB/USDT	2025-06-26 02:00:00		0.1989583333333333	0.19895833333333332	2	2	0.0038571318367664	0.003857131836766281	0.7399999999999958	0.7400000000000098	0.0059245545012728	0.005924554501272938	0.5182291666666331	0.5182291666666546	0.0137005322841937	0.013700532284193545	0.7916666666666585	0.7916666666666595	0.0167245236442182	0.01672452364421828	0.8293357933579246	0.8293357933579282
BNB/USDT	2025-06-27 02:15:00		0.3579861111111111	0.3579861111111111	3	3	0.0018299964330578	0.0018299964330578122	0.5762711864409762	0.5762711864406944	0.0035979590887239	0.0035979590887239565	0.758620689655218	0.7586206896551937	0.0077387137296256	0.007738713729625868	0.6392785571142585	0.6392785571142383	0.0092585412757251	0.009258541275724785	0.6080402010050665	0.6080402010050404
BNB/USDT	2025-06-28 02:30:00		0.0267361111111111	0.02673611111111111	0	0	0.0016887704511646	0.0016887704511651114	1.0	1.0	0.0041831928606847	0.004183192860684359	0.5777777777778602	0.5777777777777519	0.0042606593951418	0.0042606593951413085	0.585454545454621	0.5854545454545036	0.0075607337630141	0.00756073376301436	0.7663934426229603	0.7663934426229262
BNB/USDT	2025-06-29 02:45:00		0.0375	0.0375	0	0	0.0009097497417241	0.0009097497417236422	0.5254237288135772	0.5254237288136793	0.0022358256364397	0.0022358256364394258	0.8068965517240742	0.8068965517241838	0.0055664348603763	0.005566434860376557	0.92243767313015	0.9224376731302093	0.0160362666337715	0.01603626663377178	0.8259615384615479	0.8259615384615405
LINK/USDT	2023-01-01 00:00:00		0.2875	0.2875	3	3	0.0086408640864085	0.00864086408640874	0.8125000000000021	0.812499999999988	0.009180918091809	0.00918091809180932	0.7647058823529483	0.7647058823529269	0.0153015301530153	0.015301530153015386	0.588235294117653	0.5882352941176424	0.0282628262826282	0.028262826282628217	0.6815286624203786	0.6815286624203825
LINK/USDT	2023-01-02 00:15:00		0.0423611111111111	0.04236111111111111	0	0	0.0128227960819233	0.012822796081923382	0.9305555555555662	0.9305555555555628	0.0156723063223508	0.01567230632235095	0.7613636363636411	0.761363636363635	0.0340160284951023	0.034016028495102324	0.6492146596858613	0.6492146596858613	0.0377560106856634	0.037756010685663366	0.6839622641509417	0.6839622641509415
LINK/USDT	2023-01-03 00:30:00		0.4177083333333333	0.41770833333333335	3	3	0.0131279537896027	0.013127953789602742	0.9600000000000106	0.9599999999999946	0.0131279537896027	0.013127953789602742	0.9600000000000106	0.9599999999999946	0.0157535445475231	0.015753544547523313	0.8777777777777892	0.8777777777777708	0.0274811832662348	0.027481183266235054	0.9299363057324908	0.92993630573248
LINK/USDT	2023-01-04 00:45:00		0.2298611111111111	0.2298611111111111	2	2	0.0142247510668561	0.014224751066856167	0.9625000000000083	0.9625000000000067	0.0346728307254621	0.034672830725462345	0.9846153846153882	0.9846153846153876	0.0385846372688477	0.038584637268847755	0.9861751152073768	0.9861751152073759	0.0487197724039827	0.04871977240398284	0.9890510948905136	0.989051094890513
LINK/USDT	2023-01-05 01:00:00		0.7614583333333333	0.7614583333333333	5	5	0.0067767158992181	0.006776715899218022	1.0	1.0	0.0088618592528236	0.008861859252823456	0.8235294117647174	0.8235294117647162	0.019635099913119	0.01963509991311907	0.6106194690265373	0.6106194690265486	0.0335360556038228	0.03353605560382278	0.7720207253885945	0.7720207253886006
LINK/USDT	2023-01-06 01:15:00		0.9125	0.9125	5	5	0.0096967559943581	0.009696755994358264	0.9454545454545596	0.9454545454545428	0.0158674188998589	0.015867418899858987	0.9666666666666756	0.966666666666665	0.0253878702397741	0.0253878702397744	0.9791666666666722	0.9791666666666656	0.0405500705218618	0.04055007052186188	0.6478260869565219	0.6478260869565211
LINK/USDT	2023-01-07 01:30:00		0.7631944444444444	0.7631944444444444	5	5	0.0055248618784529	0.0055248618784529135	0.593749999999985	0.5937500000000125	0.0091505524861878	0.00915055248618768	0.7547169811320722	0.7547169811320842	0.0122582872928175	0.012258287292817527	0.7464788732394386	0.7464788732394415	0.0184737569060773	0.018473756906077443	0.5046728971962671	0.5046728971962672
LINK/USDT	2023-01-08 01:45:00		0.5041666666666667	0.5041666666666667	4	4	0.0067241379310344	0.006724137931034435	0.7948717948717867	0.7948717948717864	0.0196551724137929	0.01965517241379311	0.7280701754385974	0.7280701754386014	0.0196551724137929	0.01965517241379311	0.7280701754385974	0.7280701754386014	0.0584482758620689	0.05844827586206891	0.9085545722713874	0.9085545722713879
