cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W4.6_N40_recover	10	1	186	-0.010614795541703501	-0.002416046604591877	-0.010550369755547597	auto側(負)	0.967741935483871
W4.6_N40_recover	15	1	186	-0.015922193312555254	-0.0036240699068878102	-0.01582555463332139	auto側(負)	0.967741935483871
W4.6_N80_close	3	1	186	-0.004060336057592545	-0.0002563954748743639	-0.004009668616005128	auto側(負)	0.9193548387096774
W4.6_N80_close	5	1	186	-0.006767226762654241	-0.00042732579145727894	-0.006682781026675215	auto側(負)	0.9193548387096774
W4.6_N80_close	10	1	186	-0.013534453525308488	-0.0008546515829145626	-0.013365562053350434	auto側(負)	0.9193548387096774
W4.6_N80_close	15	1	186	-0.020301680287962726	-0.0012819773743718433	-0.02004834308002565	auto側(負)	0.9193548387096774
W4.6_N80_close	30	1	186	-0.04060336057592546	-0.002563954748743681	-0.04009668616005129	auto側(負)	0.9193548387096774
W7.0_N40_close	3	1	186	-0.0025329190643245615	-0.0010459911686204616	-0.0025264374411390783	auto側(負)	0.9838709677419355
W7.0_N40_close	5	1	186	-0.004221531773874273	-0.0017433186143674263	-0.0042107290685651335	auto側(負)	0.9838709677419355
W7.0_N40_close	10	1	186	-0.008443063547748547	-0.0034866372287348547	-0.008421458137130263	auto側(負)	0.9838709677419355
W7.0_N40_close	15	1	186	-0.012664595321622821	-0.005229955843102285	-0.012632187205695405	auto側(負)	0.9838709677419355
W7.0_N40_close	30	1	186	-0.025329190643245642	-0.01045991168620457	-0.025264374411390806	auto側(負)	0.9838709677419355
W7.0_N40_hold	3	1	186	-0.0017395316656462815	0.00022310860389507367	-0.0017274871622188627	auto側(負)	0.9838709677419355
W7.0_N40_hold	3	7	186	-0.014913977141653462	-0.007911650226874256	-0.014881539467661523	auto側(負)	0.967741935483871
W7.0_N40_hold	5	1	186	-0.0028992194427438123	0.00037184767315846963	-0.002879145270364779	auto側(負)	0.9838709677419355
W7.0_N40_hold	10	1	186	-0.00579843888548762	0.0007436953463169381	-0.005758290540729554	auto側(負)	0.9838709677419355
W7.0_N40_hold	15	1	186	-0.008697658328231432	0.0011155430194754005	-0.00863743581109434	auto側(負)	0.9838709677419355
W7.0_N40_recover	3	1	186	-0.0020032440469546888	-0.0005505166098957764	-0.0019957744118740436	auto側(負)	0.989247311827957
W7.0_N40_recover	5	1	186	-0.0033387400782578227	-0.0009175276831596171	-0.0033262906864567434	auto側(負)	0.989247311827957
