cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W10.0_N80_hold	5	1	366	3.7691014427799865e-05	0.0040555891469257555	8.23769791399928e-05	reverse側(正)	0.9617486338797814
W10.0_N80_hold	5	7	366	-0.01029088578298295	0.012330757371262204	-0.010004100946917347	auto側(負)	0.9426229508196722
W10.0_N80_hold	10	1	366	7.538202885560186e-05	0.008111178293851518	0.00016475395827999408	reverse側(正)	0.9617486338797814
W10.0_N80_hold	10	7	366	-0.021223845444865445	0.023912318032340747	-0.02065189990780938	auto側(負)	0.9426229508196722
W10.0_N80_hold	15	1	366	0.00011307304328339444	0.012166767440777276	0.0002471309374199851	reverse側(正)	0.9617486338797814
W10.0_N80_hold	15	7	366	-0.04173644944415496	0.02705704209907485	-0.04090373337089668	auto側(負)	0.9453551912568307
W10.0_N80_hold	30	1	366	-0.010425947079342112	0.014176711499772994	-0.010174268166068983	auto側(負)	0.9617486338797814
W10.0_N80_recover	3	1	366	-4.1941270908571635e-05	0.002232948601160999	-1.6460491773882563e-05	auto側(負)	0.9617486338797814
W10.0_N80_recover	5	1	366	-6.990211818095283e-05	0.0037215810019349954	-2.7434152956469117e-05	auto側(負)	0.9617486338797814
W10.0_N80_recover	10	1	366	-0.00013980423636190262	0.007443162003869996	-5.486830591292732e-05	auto側(負)	0.9617486338797814
W10.0_N80_recover	15	1	366	-0.00020970635454286364	0.011164743005804991	-8.230245886939916e-05	auto側(負)	0.9617486338797814
W10.0_N80_recover	30	1	366	-0.010457623804190165	0.013487331314369164	-0.010209362518990801	auto側(負)	0.9644808743169399
