pair	ts	bucket	amp_1h	amp_4h	amp_12h	amp_24h
SOL/USDT	2023-09-15 01:15:00+00:00	[0.25,0.50)	0.019077901430842766	0.0243773184949656	0.0243773184949656	0.05034446210916795
SOL/USDT	2023-09-16 01:15:00+00:00	[0.75,1.00]	0.02147721320062861	0.02147721320062861	0.028810895756940843	0.03771608171817718
SOL/USDT	2023-09-17 01:15:00+00:00	[0.50,0.75)	0.007940709370036981	0.010058231868713484	0.012705134992059207	0.028057173107464327
SOL/USDT	2023-09-18 01:15:00+00:00	[0.10,0.25)	0.022459893048128433	0.03529411764705883	0.07058823529411766	0.08021390374331551
SOL/USDT	2023-09-19 01:15:00+00:00	[0.50,0.75)	0.005555555555555526	0.013636363636363615	0.0353535353535355	0.0353535353535355
SOL/USDT	2023-09-20 01:15:00+00:00	[0.25,0.50)	0.012967581047381447	0.019950124688279232	0.02194513715710712	0.03690773067331663
SOL/USDT	2023-09-21 01:15:00+00:00	[0.50,0.75)	0.00851703406813618	0.013527054108216412	0.04158316633266542	0.04809619238476958
SOL/USDT	2023-09-22 01:15:00+00:00	[0.25,0.50)	0.005109862033725162	0.010730710270822732	0.014818599897802716	0.0337250894225856
SOL/USDT	2023-09-23 01:15:00+00:00	[0.50,0.75)	0.008226221079691525	0.012339331619537378	0.012853470437017995	0.019023136246786684
SOL/USDT	2023-09-24 01:15:00+00:00	[0.10,0.25)	0.004079551249362484	0.008159102498725148	0.00968893421723617	0.03110657827638957
SOL/USDT	2023-09-25 01:15:00+00:00	[0.50,0.75)	0.008217770929635344	0.014381099126861897	0.014894709809964005	0.023112480739599348
SOL/USDT	2023-09-26 01:15:00+00:00	[0.10,0.25)	0.007751937984496233	0.0124031007751939	0.014987080103359312	0.03565891472868223
SOL/USDT	2023-09-27 01:15:00+00:00	[0.50,0.75)	0.0036764705882353092	0.009978991596638722	0.03203781512605039	0.03939075630252101
SOL/USDT	2023-09-28 01:15:00+00:00	[0.75,1.00]	0.008785529715762361	0.013953488372093	0.01757105943152454	0.04857881136950892
SOL/USDT	2023-09-29 01:15:00+00:00	[0.75,1.00]	0.017008504252126057	0.017008504252126057	0.018009004502251277	0.02351175587793909
SOL/USDT	2023-09-30 01:15:00+00:00	[0.10,0.25)	0.002960039467192833	0.007893438579181063	0.04637395165268877	0.0858411445485939
SOL/USDT	2023-10-01 01:15:00+00:00	[0.10,0.25)	0.006560449859418958	0.014058106841612029	0.1462043111527648	0.15791940018744147
SOL/USDT	2023-10-02 01:15:00+00:00	[0.75,1.00]	0.012615643397813318	0.024810765349032794	0.044154751892346536	0.07989907485281758
SOL/USDT	2023-10-03 01:15:00+00:00	[0.50,0.75)	0.01575809199318558	0.01575809199318558	0.05664395229982957	0.07580919931856904
SOL/USDT	2023-10-04 01:15:00+00:00	[0.75,1.00]	0.022308022308022292	0.02574002574002565	0.04633204633204626	0.05491205491205496
SOL/USDT	2023-10-05 01:15:00+00:00	[0.75,1.00]	0.014893617021276655	0.01702127659574477	0.03234042553191496	0.04510638297872335
SOL/USDT	2023-10-06 01:15:00+00:00	[0.50,0.75)	0.016543317370483198	0.017414018284719137	0.0378754897692643	0.04614714845450598
SOL/USDT	2023-10-07 01:15:00+00:00	[0.25,0.50)	0.007240204429301606	0.035349233390119326	0.03620102214650773	0.04812606473594559
SOL/USDT	2023-10-08 01:15:00+00:00	[0.05,0.10)	0.016379310344827543	0.0193965517241379	0.02500000000000008	0.02500000000000008
SOL/USDT	2023-10-09 01:15:00+00:00	[0.50,0.75)	0.008654262224145361	0.011250540891389077	0.0571181306793596	0.07702293379489404
SOL/USDT	2023-10-10 01:15:00+00:00	[0.25,0.50)	0.006360745115856454	0.016810540663334893	0.025897319400272616	0.03589277601090409
SOL/USDT	2023-10-11 01:15:00+00:00	[0.25,0.50)	0.009887640449438151	0.02831460674157299	0.03146067415730334	0.036404494382022416
SOL/USDT	2023-10-12 01:15:00+00:00	[0.25,0.50)	0.01241950321987135	0.01655933762649508	0.03219871205151807	0.042318307267709375
SOL/USDT	2023-10-13 01:15:00+00:00	[0.50,0.75)	0.006548175865294695	0.015434985968194662	0.023386342376052388	0.052385406922357394
