half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
1.5	80	close	auto	15	1	0.02	0.00011	12470	-0.0261353	-0.0379289	-0.0347385	-0.0305172	-0.0234756	0.00674824	-0.0267112	-0.0255413	0			-0.0121473	main
1.5	80	close	auto	15	7	0.02	0.00011	12470	-0.0283515	-0.0379289	-0.0347601	-0.0306596	-0.024605	-0.0110457	-0.0286845	-0.0280235	0			-0.0132519	main
1.5	80	close	auto	15	30	0.02	0.00011	12470	-0.0283515	-0.0379289	-0.0347601	-0.0306596	-0.024605	-0.0110457	-0.0286845	-0.0280235	0			-0.0132519	main
1.5	80	close	auto	30	1	0.02	0.00011	12470	-0.0522706	-0.0758577	-0.069477	-0.0610344	-0.0469511	0.0134965	-0.0534224	-0.0510826	0			-0.0242946	main
1.5	80	close	auto	30	7	0.02	0.00011	12470	-0.0567029	-0.0758577	-0.0695201	-0.0613193	-0.04921	-0.0220914	-0.0573691	-0.056047	0			-0.0265037	main
1.5	80	close	auto	30	30	0.02	0.00011	12470	-0.0567029	-0.0758577	-0.0695201	-0.0613193	-0.04921	-0.0220914	-0.0573691	-0.056047	0			-0.0265037	main
1.5	80	hold	auto	3	1	0.02	0.00011	12470	-0.0178536	-0.0745684	-0.0265071	-0.00742346	0.00158315	0.00640067	-0.0194034	-0.0163764	0	0.0098899	-0.0218526	-0.00589085	main
1.5	80	hold	auto	3	7	0.02	0.00011	12470	-0.0580877	-0.205716	-0.087512	-0.0351749	-0.000778221	0.0209913	-0.064652	-0.0519067	0.00160385	0.0317234	-0.0695817	-0.0187024	main
1.5	80	hold	auto	3	30	0.02	0.00011	12470	-0.137783	-0.464232	-0.203926	-0.0893119	-0.00901589	0.0470396	-0.156894	-0.12009	0.0245389	0.0696787	-0.144783	-0.0405452	main
1.5	80	hold	auto	5	1	0.02	0.00011	12470	-0.0298666	-0.124281	-0.0441785	-0.0123724	0.00263858	0.0106678	-0.0325241	-0.0273956	0.00032077	0.0164867	-0.0362218	-0.00981796	main
1.5	80	hold	auto	5	7	0.02	0.00011	12470	-0.097616	-0.345512	-0.145853	-0.0586248	-0.00129704	0.0349856	-0.108202	-0.0872196	0.00842021	0.0530238	-0.111694	-0.0311702	main
1.5	80	hold	auto	5	30	0.02	0.00011	12470	-0.225581	-1	-0.34447	-0.14994	-0.0153411	0.0782862	-0.252217	-0.199669	0.0696071	0.118219	-0.216325	-0.0675267	main
1.5	80	hold	auto	10	1	0.02	0.00011	12470	-0.0600531	-0.248788	-0.0884371	-0.0247522	0.00527715	0.0213356	-0.0654129	-0.0549961	0.00296712	0.0330141	-0.0706061	-0.0196359	main
1.5	80	hold	auto	10	7	0.02	0.00011	12470	-0.197949	-1	-0.293783	-0.117663	-0.00265791	0.0699346	-0.218988	-0.177442	0.0598236	0.108107	-0.191251	-0.0622759	main
