seed	bucket	T_h	dR	lo95	hi95	loADJ	hiADJ	sig95	sigADJ	cap_hiADJ_pct
5	[0.75,1.0]	24	-0.0018146807332620903	-0.011625467756684094	0.008140308755064806	-0.016803372061554148	0.01408163924272895	False	False	0.10098481190376031
6	[0,0.05)	1	0.005802707558911486	-0.011247057023830321	0.022217880779338638	-0.02072971608310318	0.03164400110163705	False	False	0.021356002348986092
6	[0,0.05)	4	0.012660192441886172	-0.006825830331590579	0.030993063878713867	-0.01865265934934059	0.040464089529176336	False	False	0.05893613699503438
6	[0,0.05)	12	0.020362455998282077	0.00427404182972907	0.03717979810655171	-0.004448552788443107	0.0472845291105217	True	False	0.14253549758964487
6	[0,0.05)	24	0.015675949480729645	8.780045207288436e-05	0.03138878445055812	-0.009245924744489282	0.04077781972120366	True	False	0.18342950871243535
6	[0.05,0.10)	1	-0.005730536223063829	-0.020992054640419314	0.010342830957611203	-0.029108552828429342	0.02003104702991335	False	False	0.014324561268099181
6	[0.05,0.10)	4	0.005309315758143511	-0.010964301714620582	0.02080223232414861	-0.02010598668918625	0.02973365604135834	False	False	0.05016663362803066
6	[0.05,0.10)	12	-0.0043694821927976	-0.020034753461839007	0.012033397707813578	-0.02844346582368705	0.02234846445236043	False	False	0.06898654402073673
6	[0.05,0.10)	24	0.006827966493236634	-0.009025832664006325	0.02326454915330701	-0.01782644710540611	0.03142414683339771	False	False	0.15439120682630464
6	[0.10,0.25)	1	-0.0016719620093731114	-0.01335152729233407	0.010486825881319195	-0.01970379477732544	0.01728403479383025	False	False	0.016088352277966414
6	[0.10,0.25)	4	0.003177165304116432	-0.007294495357071371	0.013899786326847406	-0.013265228755601238	0.019845020366186576	False	False	0.039047076303057905
6	[0.10,0.25)	12	0.0074703623330754036	-0.0022677304950732696	0.017594443690469266	-0.008252751421751655	0.02365445629356207	False	False	0.08499979757284322
6	[0.10,0.25)	24	0.017119413182191547	0.007544665408953976	0.027151379095264827	0.002225884256945703	0.032972658568932445	True	True	0.17742618498220314
6	[0.25,0.50)	1	-1.873231049863745e-05	-0.00947276269879447	0.009354667621407204	-0.014496832743120674	0.014707640452213282	False	False	0.014052984504752558
6	[0.25,0.50)	4	0.0004024485017057482	-0.007993172088927664	0.008913015289370453	-0.013344308015132445	0.013357286592898815	False	False	0.02720036222811949
6	[0.25,0.50)	12	0.004618135602346366	-0.005216870126429119	0.014622035337345279	-0.010846323358127864	0.02000709057589735	False	False	0.07542402490130999
6	[0.25,0.50)	24	0.009983655724683026	0.0010914084711213454	0.019052032241090054	-0.0035845332510558944	0.02422698221778587	True	False	0.13920654596774018
6	[0.50,0.75)	1	-0.01086734103865345	-0.020483727016667355	-0.001323925677187581	-0.02563756173056366	0.003761825851509283	True	False	0.004258137315242451
6	[0.50,0.75)	4	-0.000773168446932345	-0.009277555007442897	0.007691982279423014	-0.01444900961225097	0.011926365570963451	False	False	0.02912883605776952
6	[0.50,0.75)	12	0.00023032725815319953	-0.009448883920905086	0.009701152013546347	-0.014962214834116661	0.0155493380725521	False	False	0.06877393426057632
6	[0.50,0.75)	24	-0.0011786235641599847	-0.01030992290933745	0.007884531444026182	-0.015309556413106828	0.012802060363458597	False	False	0.08094481795390115
6	[0.75,1.0]	1	-0.010363776122026675	-0.02050034120529793	-2.6337077937789986e-05	-0.026430361105742716	0.006294037281111745	True	False	0.009923860777952728
6	[0.75,1.0]	4	-0.0052066856593792656	-0.014243553212120343	0.004012105465142181	-0.019223955606210222	0.009157383431438473	False	False	0.027765191126200427
6	[0.75,1.0]	12	-0.004802623337652543	-0.015287580951124488	0.005398049303297172	-0.021084853103622472	0.01086049108549744	False	False	0.05676482875293952
6	[0.75,1.0]	24	-0.0018146807332620903	-0.011649959584665302	0.008048638255145362	-0.017791005712641115	0.013866147960774351	False	False	0.09986968972182385
7	[0,0.05)	1	0.005802707558911486	-0.011162832705977318	0.022137735865084038	-0.021361220339443432	0.031081760277935105	False	False	0.021385690352510613
