ts	pair	grade	ret_24h	net_24h	mfe_24h	mae_24h
2026-06-01T09:30:00+00:00	BNB/USDT	B	-0.055911700763699	-0.057911700763699	0.0167372763253248	-0.0606081721389151
2026-06-07T01:00:00+00:00	BNB/USDT	B	0.038988882549233	0.036988882549233	0.0556218337742275	-0.0023687259021042
2026-06-07T05:15:00+00:00	BNB/USDT	B	0.0172528655130592	0.0152528655130592	0.0429271792418988	-0.0026647990297397
2026-06-07T22:00:00+00:00	BNB/USDT	B	-0.0027170780707098	-0.0047170780707098	0.0053847547219523	-0.0258863438009452
2026-06-10T12:30:00+00:00	BNB/USDT	B	0.0179825603094356	0.0159825603094356	0.0242764564177382	-0.0124860041393818
2026-06-11T08:00:00+00:00	BNB/USDT	B	0.0026279460439431	0.0006279460439431	0.0101458676380088	-0.008648936347155
2026-06-11T17:30:00+00:00	BNB/USDT	A	0.0042198282281686	0.0022198282281686	0.0150589948534645	-0.0127587747604626
2026-06-14T21:15:00+00:00	BNB/USDT	B	0.0105330197922788	0.0085330197922788	0.0335423607028544	-0.0011104579005815
2026-06-16T07:15:00+00:00	BNB/USDT	A	-0.0177561765897125	-0.0197561765897125	0.0036452004860267	-0.0257918185500202
2026-06-20T05:00:00+00:00	BNB/USDT	A	0.0093710918092886	0.0073710918092886	0.0124890784807523	-0.0037518630826952
2026-06-22T01:15:00+00:00	BNB/USDT	B	-0.0043090388823431	-0.0063090388823431	0.013819222353139	-0.0104696179094428
2026-06-24T11:45:00+00:00	BNB/USDT	A	-0.0294761896548748	-0.0314761896548748	0.0009313717035479	-0.0572448645199122
2026-06-29T12:00:00+00:00	BNB/USDT	A	-0.0185620258612959	-0.0205620258612959	0.0099894187485427	-0.0204809985831885
2026-07-01T13:45:00+00:00	BNB/USDT	B	0.0291734197730955	0.0271734197730955	0.0328519658368691	-0.0053175022308014
2026-07-02T03:45:00+00:00	BNB/USDT	B	0.0073617869391127	0.0053617869391127	0.0183865117698813	-0.0147056183003249
2026-07-02T13:30:00+00:00	BNB/USDT	B	-0.0008464712728809	-0.0028464712728809	0.001375515818432	-0.0192219518216766
2026-07-04T08:45:00+00:00	BNB/USDT	B	0.0054067210236261	0.0034067210236261	0.0065888979676986	-0.0122042384520435
2026-07-04T15:00:00+00:00	BNB/USDT	A	0.0206756475244775	0.0186756475244775	0.0239740295812791	-0.0136275258662591
